,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min
64,2020-03-05 05:00:00+00:00,73.0,35.820805,39.0983,29.8283,0.043307085,0.023622047,0.13779528,17.741539,35.5683,291.30066,29.374552,32.0783,23.708302,77.29053,86.59564,70.18573,980.7773,994.55475,975.15717
65,2020-03-06 05:00:00+00:00,2.0,29.442053,40.3583,19.1183,0.0,0.0,0.0,9.480236,18.3434,72.64592,17.854551,22.6283,14.798298,63.46043,88.33632,39.746643,998.97614,1002.5437,995.6074
66,2020-03-07 05:00:00+00:00,3.0,43.095806,57.818302,27.938301,0.0,0.0,0.0,12.624689,25.0544,173.48936,26.38205,37.4783,15.1582985,51.90622,60.419086,41.688343,987.61066,995.5907,981.90765
67,2020-03-08 05:00:00+00:00,3.0,51.46204,63.4883,42.8783,0.0,0.0,0.0,14.390015,27.9625,186.88992,35.63705,44.8583,27.2183,55.63675,78.698944,45.15511,978.2669,981.52527,975.72253
68,2020-03-09 05:00:00+00:00,3.0,34.984547,48.0083,28.4783,0.0,0.0,0.0,11.406507,22.8174,332.6298,28.463295,41.888298,21.3683,77.43037,93.369995,60.994087,984.2808,988.8524,977.5965
69,2020-03-10 05:00:00+00:00,73.0,31.140802,39.908302,21.458302,0.10629921,0.0,0.74409443,6.814594,16.1064,351.6342,21.668299,29.5583,17.408298,69.58738,90.95313,45.37469,991.2441,994.1033,988.5932
70,2020-03-11 05:00:00+00:00,71.0,36.3908,49.1783,26.678299,0.003937008,0.0,0.027559055,11.6324,23.0411,166.5364,30.645805,34.1483,26.1383,81.71641,100.0,54.021595,982.55695,987.6535,976.4335
71,2020-03-12 05:00:00+00:00,61.0,38.738297,44.0483,30.8183,0.17322835,0.17322835,0.0,15.609388,30.6469,300.7382,33.953297,40.9883,21.5483,83.745514,98.26639,55.09259,974.0979,982.13434,969.5974
72,2020-03-13 05:00:00+00:00,3.0,29.4758,36.4883,24.3383,0.0,0.0,0.0,12.26276,25.949202,295.83975,16.84955,21.3683,14.258299,60.06152,73.82693,40.801376,992.1706,1001.1533,982.838
73,2020-03-14 05:00:00+00:00,3.0,26.082054,33.7883,21.458302,0.0,0.0,0.0,7.9342575,14.9879,23.46609,13.41455,16.148298,10.2083,58.684834,69.626595,47.76267,1004.0716,1006.49695,1001.8059
74,2020-03-15 05:00:00+00:00,3.0,29.989548,40.9883,19.9283,0.0,0.0,0.0,7.9342575,17.896,124.66945,18.48455,22.9883,15.1582985,63.969143,84.67041,43.86847,1004.2876,1007.9593,997.947
75,2020-03-16 05:00:00+00:00,73.0,33.762054,38.6483,27.8483,0.027559055,0.007874016,0.13779528,11.318424,21.0278,240.2218,26.68205,31.9883,16.9583,75.13768,84.267715,63.20951,991.5524,997.41943,988.1163
76,2020-03-17 05:00:00+00:00,73.0,32.74205,44.6783,23.0783,0.03543307,0.0,0.2480315,8.905957,20.8041,240.71141,20.0333,25.8683,16.2383,61.252117,78.26123,37.917877,991.4715,994.11664,989.29095
77,2020-03-18 05:00:00+00:00,71.0,38.389545,45.6683,34.1483,0.007874016,0.003937008,0.027559055,7.3379054,15.2116,125.06677,32.5208,37.1183,26.588299,79.511894,92.784004,71.870895,986.6164,989.41705,985.00543
